,Product Name,Product Price
74,Garnier Pure Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,050"
75,Garnier Even & Matte Scrub - 100ml,KSh 995
76,Garnier Micellar Water Sensitive Skin - 100ml,KSh 495
77,Garnier Skin Active Hydrabomb Green Tea Tissue Face Mask,KSh 350
78,Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 100ml,KSh 525
79,Garnier Even & Matte Vitamin C Protective Cream Spf30,"KSh 2,000"
80,Garnier Pure Active 3 In 1 Charcoal Anti Blackhead Mask,"KSh 2,140"
81,Garnier SkinActive Moisture Rescue - Dry Skin,"KSh 3,500"
82,Garnier Even & Matte Oily Skin Face Moisturizer - 40ml,"KSh 1,600"
83,Garnier Body Sensitive 7 Days Soothing Bodylotion,"KSh 1,650"
84,Garnier Pure Active Pore Purifying Daily Pore Tone,"KSh 2,299"
85,Garnier Ultralift Anti-Wrinkle Night Cream,"KSh 6,550"
86,Garnier Intensive Hand Repair Cream,"KSh 2,100"
87,Garnier Skin Naturals Black Peel-Off Mask With Charcoal,"KSh 3,800"
88,Garnier Even & Matte Dark Spot Corrector,"KSh 2,000"
89,Garnier Vitamin C Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,890"
90,Garnier Normal Skin Intensive 7 Days Hydrating Lotion ALOE VERA FAST ABSORBING,"KSh 2,500"
91,Garnier Pure Active Micellar Cleansing Water - 400 Ml,"KSh 2,799"
92,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,"KSh 1,499"
93,Garnier Skin Naturals Miracle Eye Cream,"KSh 6,200"
94,Garnier Micellar Purifying Jelly Water With Charcoal 400ml,"KSh 1,400"
95,Garnier Even &Matte 12hr Oil Control Very Oily Skin Face Cream -40ml,"KSh 1,199"
96,Garnier Even& Matte Dark Spot Corrector 30ml,"KSh 1,500"
97,Garnier Intensive 7 Days Nourishing Lotion DRY SKIN MANGO OIL,"KSh 2,500"
98,Garnier Even & Matte Oily Skin Face Moisturizer â€“ 40ml,"KSh 1,198"
99,Garnier Oil Beauty Body Scrub Dry Skin,"KSh 3,300"
100,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,KSh 895
101,Garnier Even & Matte Vitamin C Cream Very Oily Skin 40ml,"KSh 2,100"
102,Garnier Micellar Cleansing Water in Oil 400ml,"KSh 1,500"
103,Garnier Even & Matte Vitamin C Cream Normal To Oily Skin,"KSh 1,500"
104,Garnier Ultra Doux Olive Oil Replenishing Shampoo,"KSh 1,200"
105,Garnier 400ml Ultra Doux Mythic Olive Shampoo,KSh 895
106,Garnier Even&Matte Vit C Serum 30ml,"KSh 2,250"
107,Garnier Intensive 7 Days Shea Butter Body Lotion Dry Skin,"KSh 3,500"
108,Garnier Ultra Doux The Marvelous Shampoo With Argan And Camelia Oil,KSh 895
109,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,"KSh 1,350"
110,Garnier Intensive 7 Days Mango Body Lotion For Dry Skin,"KSh 1,999"
111,Garnier Even & Matte Gentle Cleansing Foam - 100ml,"KSh 1,899"
112,Garnier Intensive 7 Days Aloe Vera Probiotic Extract Body Lotion-250mL,"KSh 2,499"
113,Garnier INTENSIVE 7 Days Nourishing Lotion For DRY SKIN HYDRATING PROBIOTIC EXTRACT MANGO OIL,"KSh 2,500"
114,Garnier Even & Matte Dark Spot Corrector 30ml,"KSh 1,725"
115,Garnier 400ml Ultra Doux Honey Treasures Replenishing Shampoo,KSh 895
116,Garnier Ultra Doux Honey Treasures Replenishing Shampoo,"KSh 1,350"
117,Garnier Even&Matte Vitamin C Booster Serum -Dark Marks Remover Serum,"KSh 2,100"
118,Garnier Pure Active 3 In 1 Charcoal Blackheads Mask Scrub 150ml,"KSh 2,000"
119,Garnier 400ml Ultra Doux Honey Treasures Replenishing Shampoo,KSh 895
120,Garnier Even & Matte Vitamin C Dark Spot Corrector - 30ml,"KSh 1,300"
121,Garnier Even & Matte Vitamin C Dark Spot Corrector - 30ml..,"KSh 1,230"
122,Garnier SkinActive Moisture Rescue Moisturiser - Normal/Combination,"KSh 3,500"
123,Garnier Even & Matte Vitamin C Cream Normal To Oily Skin - 40ml,"KSh 1,399"
124,Garnier Skinactive 4% AHA + BHA (Salicylic Acid) & Niacinamide Charcoal Serum,"KSh 2,150"
125,Garnier Pure Active Matte Control 50ml,"KSh 1,450"
126,Garnier Even And Matte Vitamin C Booster Serum-Dark Spots,"KSh 1,999"
127,Garnier Even & Matte Vitamin C Cream - Very Oily Skin,"KSh 1,199"
128,Garnier Micellar Cleansing Water - 100ml,KSh 700
129,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,099"
130,Garnier Even & Matte Oily Skin Face Moisturizer,"KSh 1,999"
131,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,050"
132,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,899"
133,Garnier Pure Active 3 In 1 Wash,"KSh 2,500"
134,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 2,599"
135,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,399"
136,Garnier Skin Active Even&Matte Vitamin C Booster Serum-Anti Dark Spots With Faster Results-30ml,"KSh 2,475"
137,Garnier Even & Matte Vitamin C Booster Serum- Anti Dark Spots- 30ml.,"KSh 2,370"
138,Garnier Even And Matte Vitamin C Booster Serum,"KSh 2,499"
139,Garnier 4% Niacinamide + AHA + BHA(salicylic Acid)serum For Acne,"KSh 2,999"
140,Garnier Even & Matte Vitamin C Day Cream Very Oily Skin - 40ml.,"KSh 1,249"
141,Garnier Ultra Doux The Marvelous Shampoo With Argan And Camelia Oil,KSh 895
142,Garnier 400ml Ultra Doux Shampoo Nourishing Avocado Oil &Shea Butter,"KSh 1,200"
143,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,KSh 895
144,Garnier Even& Matte Vitamin C Cream Normal To Oily Skin 40Ml,"KSh 1,500"
145,Garnier Even And Matte Vitamin C Cleansing Foam -100ml..,"KSh 1,290"
146,Garnier SkinActive Even & Matte VitaminC Booster Serum 30m,"KSh 2,799"
147,Garnier Vitamin C Booster Serum 30ml Twin Pack,"KSh 1,900"
148,Garnier Vitamin C Night Serum,"KSh 2,495"
149,Garnier Pure Active Daily Pore Reducing Toner ,"KSh 1,300"
150,"Garnier Garnier-Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,899"
151,Garnier Pure Active Daily Pore Reducing Toner,"KSh 1,300"
152,Garnier  Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 1,767"
153,Garnier Even & Matte Vitamin C Booster Serum 15ml,"KSh 1,650"
154,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,880"
155,Garnier BRIGHT COMPLETE 30X VITAMIN BOOSTER SERUM 30 ML,"KSh 2,549"
156,Garnier Even & Matte Vitamin C boost serum,"KSh 1,299 - KSh 3,000"
157,"Garnier Garnier-Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,600"
158,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
159,Garnier Even & Matte Oily Skin Face Moisturizer,"KSh 1,080"
160,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,300"
161,Garnier Vitamin C Serum Even & Matte 30ml,"KSh 1,599"
162,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 2,000"
163,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,999"
164,Garnier  Even & Matte Oily Skin Face Moisturizer,"KSh 1,200"
165,Garnier Even & Matte Vitamin C Booster Serum 15ml,"KSh 1,000"
166,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,697"
167,"Garnier Even & Matte Gentle Vitamin C Cleansing/ Clarifying Foam -for Even Tone, Radiant Skin","KSh 1,980"
168,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,350"
169,Garnier Even & Matte Dark Spot Corrector,"KSh 1,700"
170,Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 100ml,"KSh 1,050"
171,Garnier BODY UREA 24H INTENSIVE SMOOTHING CREME  MILK 400ml,"KSh 1,900"
172,"Garnier Moisture Rescue Refreshing Oil-free, Gel-cream Face Moisturizer","KSh 3,349"
173,Garnier Micellar Water Cleansing -for Even Sensitive Skin,"KSh 1,840"
174,Garnier Pure Active 3 In1 Charcoal  Anti-blackheads Mask Wash Scrub,"KSh 1,700"
175,Garnier  Vitamin C Serum Even & Matte,"KSh 1,799"
176,Garnier  Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,800"
177,"Garnier  Body Tonic Firming Body Lotion , With g Phyto-Caffeine & Seaweed Extract,","KSh 2,100"
178,"Garnier Even & Matte Gentle Vitamin C Cleansing/ Clarifying Foam -for Even Tone, Radiant Skin","KSh 2,030"
179,"Garnier Moisture Rescue Refreshing Oil-free, Gel-cream Face Moisturizer","KSh 3,299"
180,Garnier Ambre Solaire Anti - Dryness Super UV SPF 50,"KSh 3,600"
181,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 1,767"
182,Garnier Even & Matte Vitamin C Booster Serum,"KSh 2,300"
183,Garnier Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,149"
184,Garnier Mineral 6-IN-1 PROTECTION 48h,KSh 859
185,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,700"
